RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
9,2,4,,12,1.0,4,1,1.0,19.0,2,4.0
1,1,4,126359.50607515374,18,1.0,1,1,1.0,19.0,2,4.0
1,1,4,75127.85895569899,47,8.0,4,1,1.0,16.0,2,4.0
1,2,3,,9,,1,1,1.0,19.0,2,4.0
9,1,4,10790.54754111301,34,,1,1,1.0,22.0,2,4.0
4,2,3,35818.3718385832,12,,1,1,,9.0,2,4.0
1,1,3,67608.02336629394,36,1.0,1,1,,14.0,2,2.0
1,1,3,,37,,1,1,6.0,20.0,2,2.0
1,1,1,9828.667856309301,12,1.0,1,1,6.0,18.0,2,4.0
9,1,2,137591.90804369393,42,1.0,1,2,1.0,4.0,2,4.0
1,2,9,71588.23433336147,6,8.0,1,1,6.0,17.0,2,4.0
1,2,1,,26,,1,1,4.0,18.0,2,2.0
1,2,4,-8500.0,45,1.0,1,1,4.0,18.0,2,4.0
1,1,4,,55,1.0,1,1,6.0,14.0,2,
4,1,3,2308.8410155316815,48,1.0,1,1,,21.0,2,4.0
1,2,4,16012.938815904447,26,5.0,1,2,1.0,16.0,2,4.0
1,1,3,-8500.0,24,,1,1,5.0,22.0,2,4.0
4,2,3,-8500.0,36,1.0,1,1,1.0,21.0,2,4.0
1,1,3,117679.3089189457,13,1.0,1,1,1.0,14.0,2,4.0
2,1,2,21750.416411651273,39,1.0,1,1,5.0,21.0,2,4.0
9,1,2,95844.09980442649,12,3.0,1,1,3.0,15.0,2,4.0
1,2,2,60769.64093962147,34,,1,1,1.0,21.0,2,4.0
9,1,4,5687.475002899468,31,6.0,1,1,6.0,16.0,2,4.0
1,2,3,34180.40211038089,22,,1,1,1.0,22.0,2,4.0
9,2,4,,8,1.0,1,1,1.0,21.0,2,4.0
1,1,2,,6,1.0,1,1,1.0,19.0,2,4.0
1,1,3,-8500.0,29,1.0,1,1,1.0,19.0,2,4.0
1,2,4,-8500.0,34,,1,1,,12.0,2,4.0
1,1,4,-8500.0,47,,1,1,6.0,11.0,2,
6,2,3,77357.4900495146,48,,1,1,6.0,4.0,2,4.0
9,2,3,-8500.0,55,,1,1,,1.0,2,4.0
